shape,rate,shift,llh.missing,llh.all
2.8125,0.40625,6.125,-207.763357633691,-207.763357633691
2.8125,0.40625,6.375,-208.145645241034,-208.145645241034
3.4375,0.46875,6.125,-207.135563139242,-207.135563139242
3.4375,0.46875,6.375,-207.008574120485,-207.008574120485
3.4375,0.46875,6.625,-207.180363767894,-207.180363767894
3.4375,0.46875,6.875,-207.622847538593,-207.622847538593
4.0625,0.46875,6.875,-208.118594413573,-208.118594413573
3.4375,0.46875,7.125,-208.312234296134,-208.312234296134
4.0625,0.46875,7.125,-207.720737702394,-207.720737702394
4.0625,0.46875,7.375,-207.583788806543,-207.583788806543
4.0625,0.46875,7.625,-207.688303990112,-207.688303990112
4.0625,0.46875,7.875,-208.017196826595,-208.017196826595
3.4375,0.53125,5.375,-207.534150830873,-207.534150830873
3.4375,0.59375,5.125,-207.863649044044,-207.863649044044
3.4375,0.59375,5.375,-207.410688389136,-207.410688389136
3.4375,0.53125,5.625,-206.955408673078,-206.955408673078
3.4375,0.53125,5.875,-206.798150496022,-206.798150496022
3.4375,0.59375,5.625,-207.441213880701,-207.441213880701
3.4375,0.59375,5.875,-207.888159928839,-207.888159928839
4.0625,0.59375,5.625,-207.391522841802,-207.391522841802
4.0625,0.59375,5.875,-206.675243497461,-206.675243497461
4.0625,0.65625,5.375,-207.494828700222,-207.494828700222
4.0625,0.71875,5.125,-208.288197798455,-208.288197798455
4.0625,0.71875,5.375,-207.737668755736,-207.737668755736
4.0625,0.65625,5.625,-206.922461470537,-206.922461470537
4.0625,0.65625,5.875,-206.813943907069,-206.813943907069
4.0625,0.71875,5.625,-207.71689017663,-207.71689017663
4.0625,0.71875,5.875,-208.152666040599,-208.152666040599
4.6875,0.65625,5.875,-207.276147729766,-207.276147729766
4.6875,0.71875,5.625,-207.263290232112,-207.263290232112
4.6875,0.71875,5.875,-206.628656548927,-206.628656548927
4.6875,0.78125,5.375,-207.865866027737,-207.865866027737
4.6875,0.84375,5.375,-208.25779774416,-208.25779774416
4.6875,0.78125,5.625,-207.279948486861,-207.279948486861
4.6875,0.78125,5.875,-207.196244422723,-207.196244422723
4.6875,0.84375,5.625,-208.176475326951,-208.176475326951
5.3125,0.65625,6.375,-207.989196759497,-207.989196759497
5.3125,0.71875,6.125,-207.119163232912,-207.119163232912
5.3125,0.71875,6.375,-206.314723674191,-206.314723674191
5.3125,0.65625,6.625,-206.939174668466,-206.939174668466
5.3125,0.65625,6.875,-206.261899115954,-206.261899115954
5.3125,0.71875,6.625,-205.912784864376,-205.912784864376
5.3125,0.71875,6.875,-205.877197784562,-205.877197784562
5.9375,0.71875,6.625,-207.645814974381,-207.645814974381
5.9375,0.71875,6.875,-206.633893603013,-206.633893603013
5.3125,0.59375,7.125,-207.708323085996,-207.708323085996
5.3125,0.59375,7.375,-206.994423544605,-206.994423544605
5.3125,0.59375,7.625,-206.577800991711,-206.577800991711
5.3125,0.59375,7.875,-206.437929313255,-206.437929313255
5.3125,0.65625,7.125,-205.92661000532,-205.92661000532
5.3125,0.65625,7.375,-205.906594218038,-205.906594218038
